client,time
Client 03,0.0016869999817572534
Client 03,0.0026019999640993774
Client 03,0.0035719999577850103
Client 03,0.004431999986991286
Client 03,0.005535999953281134
Client 03,0.006338000006508082
Client 03,0.007400000002235174
Client 03,0.00828799995360896
Client 03,0.009282999963033944
Client 03,0.010260999959427863
Client 03,0.011001999955624342
Client 03,0.011773000005632639
Client 03,0.013188999961130321
Client 03,0.014328999968711287
Client 03,0.015152000007219613
Client 03,0.016015000001061708
Client 03,0.017149999970570207
Client 03,0.018090999976266176
Client 03,0.01893500000005588
Client 03,0.019570000004023314
Client 03,0.02060899999924004
Client 03,0.021382000006269664
Client 03,0.022332999971695244
Client 03,0.023505999997723848
Client 03,0.02438999997684732
Client 03,0.025140999990981072
Client 03,0.026437999971676618
Client 03,0.027406000008340925
Client 03,0.028426999982912093
Client 03,0.029214999987743795
Client 03,0.03003500000340864
Client 03,0.030861999955959618
Client 03,0.03176399995572865
Client 03,0.032647999993059784
Client 03,0.033559000003151596
Client 03,0.03454899997450411
Client 03,0.03541899996344
Client 03,0.036342999956104904
Client 03,0.03712799999630079
Client 03,0.03806799999438226
Client 03,0.03899099997943267
Client 03,0.039991999976336956
Client 03,0.04095299995969981
Client 03,0.041960999951697886
Client 03,0.043009999964851886
Client 03,0.04391199996462092
Client 03,0.04497099999571219
Client 03,0.04589599999599159
Client 03,0.04687399999238551
Client 03,0.048177999968174845
Client 03,0.04909099999349564
Client 03,0.04998799995519221
Client 03,0.050863999989815056
Client 03,0.05173000000650063
Client 03,0.052505999978166074
Client 03,0.053665999963413924
Client 03,0.05444899998838082
Client 03,0.05535699997562915
Client 03,0.05612899997504428
Client 03,0.05694199999561533
Client 03,0.05770599999232218
Client 03,0.0584229999803938
Client 03,0.05925699998624623
Client 03,0.06003900000359863
Client 03,0.06084499997086823
Client 03,0.06166700000176206
Client 03,0.06233799998881295
Client 03,0.0629029999836348
Client 03,0.06351399997947738
Client 03,0.06399699999019504
Client 03,0.06462899997131899
Client 03,0.06549799995264038
Client 03,0.06635599996661767
Client 03,0.06720399996265769
Client 03,0.06814200000371784
Client 03,0.06903499999316409
Client 03,0.06984099996043369
Client 03,0.07060799997998402
Client 03,0.07148899999447167
Client 03,0.07235799997579306
Client 03,0.07294699997873977
Client 03,0.07384199998341501
Client 03,0.07454999996116385
Client 03,0.07546599995112047
Client 03,0.07630899996729568
Client 03,0.07705399999395013
Client 03,0.07802699995227158
Client 03,0.07902199996169657
Client 03,0.08006000000750646
Client 03,0.08098899998003617
Client 03,0.08181099995272234
Client 03,0.08262100000865757
Client 03,0.08341500000096858
Client 03,0.084192999987863
Client 03,0.08497599995462224
Client 03,0.08601599995745346
Client 03,0.08684800000628456
Client 03,0.08767599996645004
Client 03,0.08852200000546873
Client 03,0.0894620000035502
Client 03,0.09035799995763227
Client 03,0.09145099995657802
Client 03,0.0925079999724403
Client 03,0.09332099999301136
Client 03,0.09417199995368719
Client 03,0.09498199995141476
Client 03,0.09582499996758997
Client 03,0.0966469999984838
Client 03,0.09765700000571087
Client 03,0.09852299996418878
Client 03,0.09930099995108321
Client 03,0.100159999972675
Client 03,0.10105800000019372
Client 03,0.10190399998100474
Client 03,0.1027780000003986
Client 03,0.10359299997799098
Client 03,0.10444999998435378
Client 03,0.10525299998698756
Client 03,0.10638599999947473
Client 03,0.1076560000074096
Client 03,0.10900499997660518
Client 03,0.11037199996644631
Client 03,0.11179199995240197
Client 03,0.11318099999334663
Client 03,0.11415699997451156
Client 03,0.11515599995618686
Client 03,0.1162309999926947
Client 03,0.11737900000298396
Client 03,0.11829299997771159
Client 03,0.11923899996327236
Client 03,0.1201160000055097
Client 03,0.12087799998698756
Client 03,0.12180799996713176
Client 03,0.12266499997349456
Client 03,0.12349999998696148
Client 03,0.12470599997323006
Client 03,0.12575599999399856
Client 03,0.12728099996456876
Client 03,0.12828099995385855
Client 03,0.12918899999931455
Client 03,0.1300249999621883
Client 03,0.13075399998342618
Client 03,0.13136999995913357
Client 03,0.1324089999543503
Client 03,0.13346499996259809
Client 03,0.1346250000060536
Client 03,0.13571000000229105
Client 03,0.13663599995197728
Client 03,0.1375479999696836
Client 03,0.13870799995493144
Client 03,0.13956199999665841
Client 03,0.14060899999458343
Client 03,0.14157400000840425
Client 03,0.1432069999864325
Client 03,0.14462400000775233
Client 03,0.1458240000065416
Client 03,0.14679799997247756
Client 03,0.14764199999626726
Client 03,0.1485969999921508
Client 03,0.1496039999765344
Client 03,0.15075099997920915
Client 03,0.15166599996155128
Client 03,0.1526989999692887
Client 03,0.153699999966193
Client 03,0.15490599995246157
Client 03,0.1560639999806881
Client 03,0.15729099995223805
Client 03,0.15893299999879673
Client 03,0.16065199999138713
Client 03,0.16214999998919666
Client 03,0.16316299996105954
Client 03,0.16420299996389076
Client 03,0.16536199999973178
Client 03,0.16648399998666719
